ano_mes_lancamento,Nome Elemento de Despesa,valor_empenhado
2017/03,Auxílio Financeiro a Estudantes,1994510.0
2017/03,Auxílio Financeiro a Pesquisadores,0.0
2017/03,Contribuições,2000.0
2017/03,Despesas de Exercícios Anteriores,345063.57999999996
2017/03,Diárias - Civil,194428.62
2017/03,Equipamentos e Material Permanente,8900.66
2017/03,Indenizações e Restituições,1189801.53
2017/03,Locação de Mão-de-Obra,500980.53
2017/03,Material de Consumo,55770.07
2017/03,"Material, Bem ou Serviço para Distribuição",0.0
2017/03,Outros Auxílios Financeiros a Pessoas Físic,922529.11
2017/03,Outros Serviços de Terceiros - Pessoa Físic,314704.49
2017/03,Outros Serviços de Terceiros - Pessoa Juríd,5396908.85
2017/03,Passagens e Despesas com Locomoção,270649.72
2017/04,Auxílio Financeiro a Estudantes,2183125.0
2017/04,Auxílio Financeiro a Pesquisadores,26600.0
2017/04,Contribuições,500.0
2017/04,Despesas de Exercícios Anteriores,278329.4
2017/04,Diárias - Civil,53138.84
2017/04,Equipamentos e Material Permanente,0.0
2017/04,Indenizações e Restituições,1691934.01
2017/04,Locação de Mão-de-Obra,312270.75
2017/04,Material de Consumo,33873.15
2017/04,Outros Auxílios Financeiros a Pessoas Físic,1172311.36
2017/04,Outros Serviços de Terceiros - Pessoa Físic,223350.38
2017/04,Outros Serviços de Terceiros - Pessoa Juríd,6796202.510000001
2017/04,Passagens e Despesas com Locomoção,45700.69
2017/05,Auxílio Financeiro a Estudantes,20972623.94
2017/05,Auxílio Financeiro a Pesquisadores,64550.0
2017/05,Contribuições,4000.0
2017/05,Despesas de Exercícios Anteriores,112269.69999999998
2017/05,Diárias - Civil,1027784.63
2017/05,Equipamentos e Material Permanente,138868.15999999997
2017/05,Indenizações e Restituições,1200996.68
2017/05,Locação de Mão-de-Obra,644228.6
2017/05,Material de Consumo,709614.5700000001
2017/05,"Material, Bem ou Serviço para Distribuição",8559.92
2017/05,Outros Auxílios Financeiros a Pessoas Físic,1030435.05
2017/05,Outros Serviços de Terceiros - Pessoa Físic,467569.13
2017/05,Outros Serviços de Terceiros - Pessoa Juríd,16880483.39
2017/05,Passagens e Despesas com Locomoção,902576.63
2017/06,Auxílio Financeiro a Estudantes,-2900324.71
2017/06,Auxílio Financeiro a Pesquisadores,2100.0
2017/06,Contribuições,6000.0
2017/06,Despesas de Exercícios Anteriores,118274.93
2017/06,Diárias - Civil,63111.54
2017/06,Equipamentos e Material Permanente,230966.4
2017/06,Indenizações e Restituições,1515594.54
2017/06,Locação de Mão-de-Obra,1475439.75
2017/06,Material de Consumo,380252.19
2017/06,"Material, Bem ou Serviço para Distribuição",0.0
2017/06,Obras e Instalações,0.0
2017/06,Outros Auxílios Financeiros a Pessoas Físic,1904313.01
2017/06,Outros Serviços de Terceiros - Pessoa Físic,334997.19
2017/06,Outros Serviços de Terceiros - Pessoa Juríd,5152818.64
2017/06,Passagens e Despesas com Locomoção,214592.32
2017/07,Auxílio Financeiro a Estudantes,12850.0
2017/07,Auxílio Financeiro a Pesquisadores,27720.0
2017/07,Contribuições,7956.039999999999
2017/07,Despesas de Exercícios Anteriores,104975.07
2017/07,Diárias - Civil,190729.35
2017/07,Equipamentos e Material Permanente,920124.0900000001
2017/07,Indenizações e Restituições,1212989.02
2017/07,Locação de Mão-de-Obra,699993.75
2017/07,Material de Consumo,334564.69
