ano_mes_lancamento,Nome Elemento de Despesa,valor_empenhado
2016/07,Outros Serviços de Terceiros - Pessoa Juríd,30383117.44606965
2016/07,Passagens e Despesas com Locomoção,598527.768769654
2016/08,Auxílio Financeiro a Estudantes,444689.49532167695
2016/08,Auxílio Financeiro a Pesquisadores,126519.20739791502
2016/08,Contribuições,5996.10702719592
2016/08,Despesas de Exercícios Anteriores,181181.71276341958
2016/08,Diárias - Civil,269513.8880939211
2016/08,Equipamentos e Material Permanente,3880210.4031908023
2016/08,Indenizações e Restituições,2010146.432322652
2016/08,Locação de Mão-de-Obra,0.0
2016/08,Material de Consumo,1173731.1749726606
2016/08,"Material, Bem ou Serviço para Distribuição",0.0
2016/08,Obras e Instalações,0.0
2016/08,Outros Auxílios Financeiros a Pessoas Físic,1313794.164069592
2016/08,Outros Serviços de Terceiros - Pessoa Físic,678209.3225615085
2016/08,Outros Serviços de Terceiros - Pessoa Juríd,954840.9644534005
2016/08,Passagens e Despesas com Locomoção,399491.8598888687
2016/08,Serviços de Consultoria,11729.884371952017
2016/09,Auxílio Financeiro a Estudantes,230435.05769502567
2016/09,Auxílio Financeiro a Pesquisadores,122850.46936313028
2016/09,Contribuições,4954.816022681008
2016/09,Despesas de Exercícios Anteriores,423651.9878747735
2016/09,Diárias - Civil,327259.9365070994
2016/09,Equipamentos e Material Permanente,2148745.463476658
2016/09,Indenizações e Restituições,2025208.1649456918
2016/09,Locação de Mão-de-Obra,-765132.4560629297
2016/09,Material de Consumo,1293108.5446437423
2016/09,"Material, Bem ou Serviço para Distribuição",0.0
2016/09,Outros Auxílios Financeiros a Pessoas Físic,1316940.8502340456
2016/09,Outros Serviços de Terceiros - Pessoa Físic,189616.92981270025
2016/09,Outros Serviços de Terceiros - Pessoa Juríd,5192857.5018415665
2016/09,Passagens e Despesas com Locomoção,266950.6288452979
2016/10,Auxílio Financeiro a Estudantes,912028.3496883982
2016/10,Auxílio Financeiro a Pesquisadores,82481.52676914532
